dob,fighter_id,height,n_draw,n_loss,n_win,name,reach,sig_str_abs_pM,sig_str_def_pct,sig_str_land_pM,sig_str_land_pct,stance,sub_avg,td_avg,td_def_pct,td_land_pct,weight
"May 26, 1978",b35d1650c78c2948,"5' 7""",0,4,0,Bu-Kyung Jung,--,1.85,0.56,0.63,0.36,Orthodox,1.5,1.1,0.0,0.75,154 lbs.
"Feb 12, 1988",4c288a2b250bb576,"5' 11""",0,5,13,Luke Jumeau,"72""",3.17,0.58,2.93,0.43,Orthodox,0.0,0.25,0.86,1.0,170 lbs.
--,6ece1d2ab1bed31d,"5' 11""",0,2,0,Steve Judson,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,230 lbs.
"May 08, 1981",cd039ff136d89ded,"6' 1""",0,12,23,Jesse Juarez,--,2.87,0.52,1.71,0.48,Orthodox,0.0,2.69,0.5,0.33,170 lbs.
--,97f3692d5444a80a,--,0,12,1,Tony Juarez,--,10.34,0.38,0.89,0.25,,0.0,4.43,0.66,1.0,155 lbs.
"Oct 14, 1985",791367e8c35cfb6a,"6' 6""",0,0,5,Dustin Joynson,"78""",5.63,0.47,3.28,0.53,Orthodox,0.0,0.0,0.0,0.0,244 lbs.
"Jul 18, 1985",35080a7f406f9ab3,"5' 6""",0,8,11,Mike Joy,--,1.71,0.47,0.57,0.33,Southpaw,2.3,0.78,0.0,0.33,155 lbs.
"Nov 27, 1995",f1d64ae34e088832,"5' 9""",0,3,10,Charles Jourdain,"69""",4.15,0.59,4.58,0.43,Switch,0.0,0.0,0.1,0.0,145 lbs.
"Nov 25, 1981",cf65d56b0755ed3b,"6' 0""",0,7,16,Alan Jouban,"73""",3.34,0.61,4.85,0.5,Southpaw,0.0,0.59,0.62,0.5,170 lbs.
"Aug 19, 1989",4e06913c91da5200,"6' 1""",0,4,22,Krzysztof Jotko,"77""",1.9,0.58,2.98,0.45,Southpaw,0.1,1.27,0.87,0.35,185 lbs.
"Apr 30, 1975",388abbf8832b5adf,"6' 0""",0,3,5,Jeff Joslin,--,1.57,0.65,2.17,0.39,Orthodox,0.5,0.5,0.64,0.33,170 lbs.
"Aug 16, 1989",34ca93f1791a5c50,"5' 6""",0,0,5,Dwight Joseph,--,2.87,0.55,2.6,0.52,Switch,1.0,1.0,0.2,0.2,135 lbs.
--,8ecb9f42da5ef5ac,--,0,5,9,Gareth Joseph,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
"Sep 17, 1982",0b64d0fed453ef7f,"5' 5""",0,12,15,Scott Jorgensen,"66""",3.41,0.65,3.37,0.4,Orthodox,0.7,2.61,0.59,0.45,135 lbs.
"Nov 07, 1980",19db7ac26308178f,"5' 9""",0,7,27,Ivan Jorge,"73""",2.91,0.59,3.41,0.49,Orthodox,0.6,1.56,0.75,0.16,155 lbs.
"Oct 21, 1984",ca2efc9d7d523c43,"6' 0""",0,8,19,Shawn Jordan,"75""",3.3,0.47,2.87,0.5,Southpaw,0.1,1.97,0.76,0.38,260 lbs.
"Jul 27, 1978",712c4db78b9373d1,"5' 6""",2,14,49,Joe Jordan,--,4.27,0.59,1.85,0.25,Orthodox,0.0,0.0,0.66,0.0,155 lbs.
"Dec 31, 1970",02e52b3a595f0786,"6' 3""",0,9,11,Kevin Jordan,--,1.91,0.55,2.0,0.4,Orthodox,0.6,0.0,0.77,0.0,245 lbs.
"Oct 04, 1985",1a98c9dbb7fc3959,"5' 7""",0,4,6,Jocelyn Jones-Lybarger,"64""",4.83,0.56,2.96,0.31,Orthodox,0.0,0.34,0.81,0.25,115 lbs.
"Apr 12, 1985",f1fd494586ab8d5f,"5' 11""",0,1,6,Antonio Jones,--,30.0,0.42,7.5,0.55,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Jan 31, 1988",1dda22d0ac3d1271,"6' 0""",0,5,7,Jamelle Jones,"75""",3.11,0.65,1.78,0.8,Orthodox,0.0,0.0,0.0,0.0,205 lbs.
--,8a9f54b9056b07f5,"5' 8""",0,6,2,Roshaun Jones,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,135 lbs.
"Nov 16, 1981",509319d35664369e,"5' 9""",0,5,10,Chris Jones,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,149 lbs.
--,04f0471f221db717,--,0,3,1,Victor Jones,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
--,329aff8e958a2997,--,0,4,4,Ben Jones,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,185 lbs.
"Sep 06, 1987",9b75954db8db2a08,"5' 11""",0,2,9,Justin Jones,--,3.17,0.45,1.7,0.36,Orthodox,0.5,1.0,0.46,0.15,185 lbs.
"Oct 26, 1983",be8dfcf0442812b1,--,0,5,7,Roy Jones,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
"Jul 31, 1981",7b223a22a6c26868,"5' 8""",0,8,11,Tito Jones,--,0.0,0.0,0.0,0.0,Southpaw,0.0,0.0,0.0,0.0,145 lbs.
--,bc0f994de0521926,"5' 9""",0,1,2,Jesse Jones,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
--,f117c3e8c1aa7b9e,"6' 1""",0,4,1,Carlton Jones,--,3.58,0.56,2.32,0.41,Orthodox,2.7,4.02,0.57,0.5,225 lbs.
"Aug 15, 1973",8fa2b06572365321,"6' 6""",0,2,4,Marcus Jones,--,2.71,0.58,1.94,0.52,Orthodox,2.9,8.71,0.0,0.75,265 lbs.
"Aug 21, 1970",f54fb3b9c4228142,"6' 11""",0,1,0,Nathan Jones,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,345 lbs.
"Jul 19, 1987",07f72a2a7591b409,"6' 4""",0,1,26,Jon Jones,"84""",2.22,0.64,4.3,0.57,Orthodox,0.4,1.85,0.95,0.44,205 lbs.
"Jun 16, 1963",f341f9551ba744e2,"5' 9""",1,1,11,Paul Jones,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,199 lbs.
"Sep 03, 1984",eeabcd4dc6619129,"6' 1""",0,3,5,Daniel Jolly,"75""",3.39,0.44,1.32,0.46,Orthodox,0.0,2.83,0.5,0.33,205 lbs.
"Mar 22, 1995",eebc23626e38f5dc,"5' 4""",0,3,8,Liana Jojua,"62""",3.23,0.49,1.39,0.43,Orthodox,3.0,1.98,0.5,0.66,125 lbs.
--,1c3f5e85b59ec710,"6' 3""",0,5,5,Brian Johnston,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,230 lbs.
"May 20, 1995",84f727cf0166d6f2,--,0,5,11,Jose Johnson,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,135 lbs.
"Jul 22, 1986",6ce9a012e4c6020c,"6' 2""",0,1,6,Chad Johnson,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,227 lbs.
"Nov 09, 1990",552b09cbf13b6328,"6' 0""",0,1,5,Taylor Johnson,"74""",1.13,0.33,5.09,0.6,Switch,0.0,8.49,1.0,1.0,185 lbs.
"Nov 18, 1988",99bcdf5eac39898f,"6' 2""",0,0,10,Jordan Johnson,"79""",2.64,0.53,3.45,0.47,Orthodox,1.2,3.25,1.0,0.42,205 lbs.
--,a45bab49951a45cd,"6' 1""",0,3,11,Tony Johnson,--,4.73,0.31,2.0,0.53,,0.0,2.0,0.0,0.22,265 lbs.
"Mar 13, 1985",cc900af167fbedfd,"6' 3""",0,4,12,Timothy Johnson,"77""",3.08,0.44,3.43,0.45,Southpaw,0.0,1.09,0.69,0.24,265 lbs.
"Jan 25, 1988",36207c58e854cae5,"5' 7""",0,2,9,Dashon Johnson,--,3.83,0.35,1.01,0.69,Orthodox,0.8,0.85,0.63,0.33,145 lbs.
"Apr 21, 1984",633a45d131192ffe,"5' 11""",1,13,23,Kajan Johnson,"75""",1.59,0.64,2.47,0.42,Orthodox,0.2,1.54,0.62,0.37,155 lbs.
--,bf97ad31eae89429,--,0,9,6,Deshaun Johnson,--,6.67,0.43,2.27,0.41,,0.0,0.0,0.0,0.0,167 lbs.
"Jun 04, 1986",511e82663651438d,"5' 10""",0,16,20,Michael Johnson,"73""",3.85,0.58,4.23,0.38,Southpaw,0.1,0.51,0.79,0.45,155 lbs.
"Aug 13, 1986",8a304bfd6bf04a57,"5' 3""",1,3,27,Demetrious Johnson,"66""",1.66,0.67,3.43,0.54,Orthodox,0.5,3.35,0.65,0.56,125 lbs.
"Jun 11, 1977",e6c5908910cc26e4,"6' 4""",0,10,18,Lavar Johnson,"82""",2.54,0.55,5.39,0.55,Orthodox,0.6,0.61,0.54,0.66,240 lbs.
"May 02, 1983",3641a0d117e9bc6c,"6' 2""",0,2,7,Tony Johnson,"76""",3.67,0.22,4.0,0.92,Orthodox,0.0,0.0,0.9,0.0,205 lbs.
--,fa2fca260beeb9c0,"5' 8""",0,6,10,Ricky Johnson,--,6.3,0.36,1.83,0.25,Orthodox,0.0,0.0,0.0,0.0,145 lbs.
--,443835675e8fc6ca,--,0,1,0,Travis Johnson,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
--,22f4b6cb6b1bd7fd,--,1,1,1,Devin Johnson,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,--
"Jun 28, 1982",322a56923b396b4d,"6' 1""",0,15,15,DaMarques Johnson,"75""",3.75,0.51,2.11,0.37,Orthodox,0.7,1.18,0.19,0.55,170 lbs.
"Mar 06, 1984",365fee2da473b177,"6' 2""",0,6,22,Anthony Johnson,"78""",1.83,0.6,3.25,0.47,Orthodox,0.6,2.43,0.77,0.57,205 lbs.
"Mar 30, 1994",46e0d677f91bacc0,"5' 7""",0,1,10,Miles Johns,"66""",2.37,0.63,3.19,0.49,Orthodox,0.0,1.64,0.85,0.66,135 lbs.
"Feb 21, 1992",ec52462a1b41f714,"5' 7""",0,2,17,Brett Johns,"71""",3.84,0.53,2.86,0.49,Orthodox,1.0,4.92,0.58,0.49,135 lbs.
"Oct 22, 1968",a8fa0c4e95512806,"5' 2""",1,14,30,Phil Johns,--,1.8,0.5,1.2,0.66,Southpaw,0.0,0.0,0.5,0.0,170 lbs.
"Aug 28, 1996",2a4200ead401a9ce,"5' 5""",0,2,6,Carls John De Tomas,"71""",3.93,0.44,1.74,0.37,Southpaw,0.0,1.37,0.66,0.33,125 lbs.
"Jul 17, 1992",6e0e977beb909837,"6' 0""",0,1,9,Sung Bin Jo,"72""",2.67,0.51,1.4,0.33,Orthodox,1.0,1.0,0.83,0.33,145 lbs.
"Nov 27, 1981",bc3ec52ef70fc155,"6' 1""",0,5,19,Ryan Jimmo,"73""",2.77,0.46,3.12,0.66,Orthodox,0.0,0.45,0.87,0.28,205 lbs.
"Aug 04, 1963",a5c53b3ddb31cc7d,"6' 1""",0,1,0,Art Jimmerson,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,196 lbs.
--,59d36ddfcb27b7dc,--,1,12,8,Gilbert Jimenez,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
"Sep 21, 1970",b9e871af730f826c,"5' 11""",2,26,24,Ronald Jhun,--,3.01,0.5,1.45,0.57,Orthodox,0.0,1.81,1.0,1.0,170 lbs.
"Jan 31, 1981",6b5b9be990774f0e,"6' 0""",0,3,12,Maciej Jewtuszko,--,1.39,0.66,2.29,0.45,Southpaw,0.9,0.0,0.42,0.0,155 lbs.
"Aug 28, 1997",24174a3f44ce8e03,"5' 5""",0,2,5,Chan-Mi Jeon,--,7.77,0.55,6.23,0.31,Orthodox,0.0,0.0,0.0,0.0,115 lbs.
"Jul 20, 1979",aec273fcb765330d,"5' 9""",2,11,4,Kyle Jensen,--,0.92,0.6,0.0,0.0,Orthodox,6.9,6.92,0.0,1.0,170 lbs.
"Sep 20, 1977",aae99701b21554e4,"6' 1""",0,8,21,Ryan Jensen,"76""",2.99,0.59,2.84,0.39,Orthodox,1.9,1.55,0.31,0.5,185 lbs.
--,ad047e3073a775f3,"5' 10""",0,3,2,Steve Jennum,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,215 lbs.
"Jul 22, 1981",dae85a6a83f53215,"5' 8""",0,6,19,Adrienna Jenkins,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
"Feb 05, 1988",5e841bb3752b6e86,"5' 7""",0,4,11,Bubba Jenkins,--,1.58,0.67,2.41,0.37,,0.0,7.23,1.0,0.68,145 lbs.
--,02fc8f50f56eb307,"6' 2""",0,4,0,Trent Jenkins,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,185 lbs.
"Nov 14, 1992",ccdcb20370be62a3,"6' 2""",0,2,6,Aaron Jeffery,"74""",4.14,0.39,6.21,0.84,Orthodox,0.0,0.0,0.75,0.0,185 lbs.
"Aug 18, 1987",3d6749c4267da18f,"5' 6""",0,4,16,Joanna Jedrzejczyk,"65""",3.08,0.64,6.3,0.48,Orthodox,0.1,0.28,0.81,0.62,115 lbs.
"Aug 10, 1989",304a21d0595e1a08,"5' 7""",0,4,16,Justin Jaynes,"68""",5.85,0.73,23.41,0.53,Orthodox,0.0,0.0,0.0,0.0,155 lbs.
--,0e8744ded08ee5fb,"5' 7""",0,2,4,Louis Jauregui,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
"Mar 21, 1984",b71ce838b01f2cad,"5' 7""",0,7,14,Rony Jason,"73""",3.14,0.53,2.04,0.44,Orthodox,0.8,0.59,0.36,0.3,145 lbs.
--,32e8e0e8498f03c2,--,0,4,1,Josh Jarvis,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,--
"Jul 10, 1985",64959f90b6dd9759,"5' 11""",0,6,12,Brock Jardine,--,3.34,0.56,1.06,0.3,Orthodox,0.8,0.0,0.14,0.0,170 lbs.
"Oct 31, 1975",b9d0fd83bb8a147a,"6' 2""",2,11,17,Keith Jardine,"76""",2.98,0.59,3.25,0.36,Orthodox,0.7,1.18,0.62,0.45,185 lbs.
--,99d5cf1eda8b25c1,"5' 9""",0,9,6,Gigo Jara,--,2.71,0.51,2.26,0.57,,0.0,0.0,0.66,0.0,145 lbs.
"Aug 02, 1969",805ad1801eb26abb,"6' 1""",0,18,38,Jaime Jara,--,1.47,0.56,2.2,0.6,Southpaw,0.0,0.0,0.25,0.0,205 lbs.
"Aug 21, 1979",335ad945324c3a2e,"5' 9""",0,4,20,Dave Jansen,"73""",3.67,0.58,2.94,0.33,Orthodox,0.9,2.79,0.38,0.28,155 lbs.
"Sep 25, 1980",8f7380fb0916dc77,"5' 11""",0,1,8,Josh Janousek,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Aug 22, 1981",b59037262c8fe060,"6' 3""",0,3,10,Ryan Janes,"76""",5.53,0.59,7.69,0.48,Orthodox,0.0,0.35,0.58,1.0,185 lbs.
"May 30, 1988",7dda2cf308f24a02,"5' 3""",0,1,15,Virna Jandiroba,"64""",1.6,0.58,1.13,0.42,Orthodox,2.1,4.23,0.6,0.46,115 lbs.
"May 29, 1978",a34fecf2f4e5a317,"6' 0""",1,8,14,Nate James,--,2.67,0.28,1.33,0.42,,0.0,0.0,0.44,0.0,185 lbs.
"Nov 08, 1976",1ea8df62b3f8fea6,"5' 10""",0,7,13,Justin James,--,2.68,0.5,1.34,0.36,Orthodox,1.6,0.0,0.5,0.0,155 lbs.
"Apr 04, 1988",e4277e87a789d687,"6' 3""",0,5,12,Dustin Jacoby,"76""",2.46,0.61,3.4,0.46,Orthodox,0.0,0.3,0.66,1.0,205 lbs.
--,ba17afef01ed78b6,--,0,9,1,Eric Jacob,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
"Apr 24, 1992",cc1a8b4b38b92c6d,"5' 10""",0,2,9,Montel Jackson,"75""",1.35,0.57,3.67,0.55,Southpaw,0.2,4.26,0.66,0.77,135 lbs.
"Oct 30, 1990",ca8da445dfa82d56,"6' 1""",0,2,7,Jason Jackson,"78""",1.31,0.56,2.24,0.48,Orthodox,0.0,0.0,0.0,0.0,170 lbs.
"Mar 22, 1985",0641c21bec209472,"6' 2""",0,1,1,Mike Jackson,--,1.33,0.75,4.25,0.58,Orthodox,0.0,0.95,0.88,1.0,170 lbs.
--,56c5132870a526d5,"6' 0""",0,3,4,Kenyon Jackson,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,185 lbs.
"Aug 08, 1988",29af297d9f1de0f8,"5' 11""",1,2,12,Damon Jackson,"71""",3.9,0.43,2.71,0.35,Switch,0.0,1.77,0.6,0.2,145 lbs.
"Sep 19, 1982",ad32471f01e7b1a5,"5' 10""",0,5,9,Jeremy Jackson,--,2.03,0.25,0.71,0.27,Orthodox,0.0,1.52,0.58,0.4,170 lbs.
"Jun 20, 1978",ffc088e64fab57e9,"6' 1""",0,12,37,Quinton Jackson,"73""",2.51,0.55,3.25,0.54,Orthodox,0.1,1.52,0.73,0.56,205 lbs.
"Sep 23, 1966",ce783bf73b5131f9,"5' 8""",1,9,15,Eugene Jackson,--,3.44,0.32,2.19,0.33,Orthodox,2.3,1.91,0.16,0.71,185 lbs.
--,13b2f59210dda9cc,"5' 10""",0,2,4,Kevin Jackson,--,0.0,0.0,0.0,0.0,Switch,0.0,0.0,0.0,0.0,199 lbs.
"May 30, 1979",b4eeac608fc82f88,"5' 7""",0,11,20,Yves Jabouin,"68""",2.93,0.62,3.06,0.41,Orthodox,0.1,1.94,0.82,0.6,135 lbs.
--,849d15ed7e3a0e97,"5' 8""",0,2,2,Jarrod Kwitty,--,4.4,0.32,0.53,0.5,,2.0,8.0,0.0,0.5,185 lbs.
"Aug 01, 1970",2545c7f47a65bca3,"5' 7""",0,16,11,Kaleo Kwan,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,155 lbs.
--,843dd76c50cae0f6,"5' 9""",0,3,0,Lina Kvokov,--,12.12,0.19,2.31,0.3,Orthodox,0.0,0.0,0.0,0.0,135 lbs.
--,b490def93478ae29,--,0,5,7,Kyle Kurtz,--,2.95,0.52,1.31,0.36,,2.5,1.23,0.0,0.2,170 lbs.
"Apr 16, 1972",4c78fc005a53831d,"5' 6""",0,1,0,Eldari Kurtanidze,--,3.72,0.6,0.47,0.2,Orthodox,0.0,0.0,0.0,0.0,235 lbs.
"Jul 13, 1973",032b65d5fff611b2,"5' 10""",2,8,10,Tsuyoshi Kurihara,--,12.0,0.5,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,185 lbs.
"Aug 23, 1996",b6a73e6f11a8835c,"6' 0""",0,0,6,Ramazan Kuramagomedov,--,9.13,0.54,11.67,0.67,Orthodox,0.0,1.0,0.0,0.14,185 lbs.
"Oct 03, 1983",6905d45bd71b50a9,"5' 10""",1,4,18,Leo Kuntz,--,3.8,0.45,1.68,0.32,Orthodox,0.7,1.99,0.33,0.25,155 lbs.
"Nov 11, 1989",3143bf892608139a,"5' 6""",0,5,12,Yana Kunitskaya,"68""",4.12,0.49,5.05,0.52,Orthodox,0.3,2.39,0.2,0.53,135 lbs.
"May 01, 1981",71df36d6d8cf0d74,"5' 10""",2,7,18,Kiichi Kunimoto,"71""",3.92,0.41,1.87,0.44,Orthodox,0.3,1.59,0.28,0.2,170 lbs.
--,782a2a17d3e38fdf,"6' 0""",0,2,3,Keigo Kunihara,--,1.99,0.57,0.17,0.1,Orthodox,2.5,4.97,1.0,0.4,235 lbs.
"May 02, 1984",e2ccd9a9ace60de7,"5' 8""",0,2,20,Aleksei Kunchenko,"70""",2.83,0.63,3.67,0.44,Orthodox,0.0,0.25,0.8,0.33,170 lbs.
--,4e77d070239699e2,--,0,3,6,Maiju Kujala,--,5.5,0.36,2.5,0.4,,0.0,0.0,0.5,0.0,135 lbs.
"May 01, 1984",706f8e2b34e8e18b,"5' 8""",0,10,24,Anton Kuivanen,"72""",1.63,0.67,2.27,0.38,Orthodox,0.4,1.2,0.71,1.0,155 lbs.
"Jun 07, 1989",b7f38813485745da,"6' 0""",0,5,15,Michael Kuiper,"73""",3.62,0.54,3.28,0.54,Orthodox,0.0,2.3,0.79,0.55,185 lbs.
"Oct 12, 1982",a272656ad662ac53,--,0,2,1,John Kuhner,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
--,487c170da059857d,--,2,7,10,Junya Kudo,--,4.44,0.33,1.85,0.71,Orthodox,0.0,0.0,0.0,0.0,135 lbs.
"Mar 07, 1992",1091d4d957141094,"6' 3""",0,7,27,Nikita Krylov,"77""",2.45,0.41,4.54,0.59,Orthodox,1.6,1.4,0.52,0.38,205 lbs.
"May 08, 1974",6071d786f6187810,"6' 2""",0,0,5,Jorgen Kruth,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,205 lbs.
--,db05271715bb4874,"5' 8""",0,1,5,Rene Kronvold,--,2.47,0.6,0.82,1.0,Orthodox,4.1,0.0,0.66,0.0,170 lbs.
"Apr 19, 1987",a01e84abefd85ec0,"6' 1""",0,2,11,Pascal Krauss,--,3.88,0.59,5.45,0.47,Orthodox,0.9,1.53,0.6,0.5,170 lbs.
"Jun 04, 1986",8f6a18831a120817,"6' 2""",0,9,26,James Krause,"73""",4.09,0.6,4.65,0.48,Orthodox,1.0,1.05,0.5,0.18,170 lbs.
"Jan 13, 1988",714e1e0681ddb703,"5' 10""",0,12,22,Derrick Krantz,"72""",4.03,0.5,2.07,0.37,Orthodox,0.8,3.18,0.0,0.5,170 lbs.
--,fc36e2352dccf2a4,--,0,0,8,Steve Kozola,--,4.36,0.5,3.9,0.39,,0.0,2.34,1.0,1.0,155 lbs.
"Oct 15, 1985",d7c3816669784109,"5' 3""",0,6,12,Karolina Kowalkiewicz,"64""",5.65,0.56,5.27,0.39,Orthodox,0.1,0.1,0.75,0.12,115 lbs.
--,ad0e42800a0d8977,--,1,1,3,Marcus Kowal,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,135 lbs.
--,8fbcd82bf7f352bf,"6' 0""",0,16,12,Matt Kovacs,--,4.87,0.44,1.47,0.22,Orthodox,0.0,1.0,0.0,0.25,244 lbs.
--,c6becb722706c7d8,"6' 2""",1,4,7,Iouri Kotchkine,--,4.92,0.15,0.67,0.38,Orthodox,0.0,0.0,0.25,0.0,235 lbs.
--,a68d57ae177a5815,--,0,2,1,Ilya Kotau,--,4.38,0.44,3.94,0.4,,6.6,6.57,1.0,1.0,170 lbs.
"Dec 08, 1981",bc8f6b42767e28df,"5' 8""",7,14,34,Naoyuki Kotani,"66""",2.89,0.5,1.02,0.31,Southpaw,0.8,0.83,0.46,0.16,155 lbs.
"Nov 30, 1977",dd37fd509af89f15,"5' 10""",0,11,17,Josh Koscheck,"73""",2.27,0.63,1.79,0.36,Orthodox,0.4,2.46,0.64,0.48,170 lbs.
"Aug 23, 1990",aee885b8ca29ab4f,"6' 0""",0,2,19,Andrey Koreshkov,--,1.92,0.63,2.84,0.39,,0.0,4.8,0.0,0.53,170 lbs.
"May 04, 1991",9d83f6da776ff7d6,"6' 0""",0,1,8,Roman Kopylov,"75""",3.07,0.63,2.64,0.38,Southpaw,0.0,0.0,0.66,0.0,185 lbs.
"Jul 16, 1965",dd39f1ca787a3d9d,"6' 2""",0,11,6,Andrei Kopylov,--,4.31,0.4,0.33,0.66,Orthodox,0.0,0.0,0.0,0.0,265 lbs.
